Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
4,120175,08/28/2013,2528,252498-1,252498-1,08/13G,08/28/2013,252498-1,100,3990,"","","",0,252.16
1,120175,08/28/2013,2506,252499-1,252499-1,08/13G,08/28/2013,252499-1,300,1201,"","","",0,433.4
2,120175,08/28/2013,2506,252499-1,252499-1,08/13G,08/28/2013,252499-1,100,1000,"","","",433.4,0
3,120175,08/28/2013,2506,252499-1,252499-1,08/13G,08/28/2013,252499-1,300,3990,"","","",433.4,0
4,120175,08/28/2013,2506,252499-1,252499-1,08/13G,08/28/2013,252499-1,100,3990,"","","",0,433.4
1,120175,08/28/2013,2460,252500-1,252500-1,08/13G,08/28/2013,252500-1,300,1201,"","","",0,756.48
2,120175,08/28/2013,2460,252500-1,252500-1,08/13G,08/28/2013,252500-1,100,1000,"","","",756.48,0
3,120175,08/28/2013,2460,252500-1,252500-1,08/13G,08/28/2013,252500-1,300,3990,"","","",756.48,0
4,120175,08/28/2013,2460,252500-1,252500-1,08/13G,08/28/2013,252500-1,100,3990,"","","",0,756.48
1,120175,08/28/2013,2356,252501-1,252501-1,08/13G,08/28/2013,252501-1,300,1201,"","","",0,756.48
2,120175,08/28/2013,2356,252501-1,252501-1,08/13G,08/28/2013,252501-1,100,1000,"","","",756.48,0
3,120175,08/28/2013,2356,252501-1,252501-1,08/13G,08/28/2013,252501-1,300,3990,"","","",756.48,0
4,120175,08/28/2013,2356,252501-1,252501-1,08/13G,08/28/2013,252501-1,100,3990,"","","",0,756.48
1,120175,08/28/2013,2204,252504-1,252504-1,08/13G,08/28/2013,252504-1,300,1201,"","","",0,23.64
2,120175,08/28/2013,2204,252504-1,252504-1,08/13G,08/28/2013,252504-1,100,1000,"","","",23.64,0
3,120175,08/28/2013,2204,252504-1,252504-1,08/13G,08/28/2013,252504-1,300,3990,"","","",23.64,0
4,120175,08/28/2013,2204,252504-1,252504-1,08/13G,08/28/2013,252504-1,100,3990,"","","",0,23.64
1,120175,08/28/2013,2562,252505-1,252505-1,08/13G,08/28/2013,252505-1,300,1201,"","","",0,2647.68
2,120175,08/28/2013,2562,252505-1,252505-1,08/13G,08/28/2013,252505-1,100,1000,"","","",2647.68,0
3,120175,08/28/2013,2562,252505-1,252505-1,08/13G,08/28/2013,252505-1,300,3990,"","","",2647.68,0
4,120175,08/28/2013,2562,252505-1,252505-1,08/13G,08/28/2013,252505-1,100,3990,"","","",0,2647.68
1,120175,08/28/2013,GNT1007,252506-1,252506-1,08/13G,08/28/2013,252506-1,300,1201,"","","",0,827.4
2,120175,08/28/2013,GNT1007,252506-1,252506-1,08/13G,08/28/2013,252506-1,100,1000,"","","",827.4,0
3,120175,08/28/2013,GNT1007,252506-1,252506-1,08/13G,08/28/2013,252506-1,300,3990,"","","",827.4,0
4,120175,08/28/2013,GNT1007,252506-1,252506-1,08/13G,08/28/2013,252506-1,100,3990,"","","",0,827.4
1,120175,08/28/2013,2627,252507-1,252507-1,08/13G,08/28/2013,252507-1,300,1201,"","","",0,236.4
