Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
3,98000004426,07/22/2013,2646,246425,246425,07/13SHP,07/22/2013,246425,300,3990,"","","",569.6,0
4,98000004426,07/22/2013,2646,246425,246425,07/13SHP,07/22/2013,246425,100,3990,"","","",0,569.6
1,98000004426,07/22/2013,1766,246426,246426,07/13SHP,07/22/2013,246426,300,1204,"","","",0,627.0
2,98000004426,07/22/2013,1766,246426,246426,07/13SHP,07/22/2013,246426,100,1000,"","","",627.0,0
3,98000004426,07/22/2013,1766,246426,246426,07/13SHP,07/22/2013,246426,300,3990,"","","",627.0,0
4,98000004426,07/22/2013,1766,246426,246426,07/13SHP,07/22/2013,246426,100,3990,"","","",0,627.0
1,98000004426,07/22/2013,1487,246427,246427,07/13SHP,07/22/2013,246427,300,1204,"","","",0,341.92
2,98000004426,07/22/2013,1487,246427,246427,07/13SHP,07/22/2013,246427,100,1000,"","","",341.92,0
3,98000004426,07/22/2013,1487,246427,246427,07/13SHP,07/22/2013,246427,300,3990,"","","",341.92,0
4,98000004426,07/22/2013,1487,246427,246427,07/13SHP,07/22/2013,246427,100,3990,"","","",0,341.92
1,98000004426,07/22/2013,2573,246428,246428,07/13SHP,07/22/2013,246428,300,1204,"","","",0,284.8
2,98000004426,07/22/2013,2573,246428,246428,07/13SHP,07/22/2013,246428,100,1000,"","","",284.8,0
3,98000004426,07/22/2013,2573,246428,246428,07/13SHP,07/22/2013,246428,300,3990,"","","",284.8,0
4,98000004426,07/22/2013,2573,246428,246428,07/13SHP,07/22/2013,246428,100,3990,"","","",0,284.8
1,98000004426,07/22/2013,2595,246429,246429,07/13SHP,07/22/2013,246429,300,1204,"","","",0,1400.0
2,98000004426,07/22/2013,2595,246429,246429,07/13SHP,07/22/2013,246429,100,1000,"","","",1400.0,0
3,98000004426,07/22/2013,2595,246429,246429,07/13SHP,07/22/2013,246429,300,3990,"","","",1400.0,0
4,98000004426,07/22/2013,2595,246429,246429,07/13SHP,07/22/2013,246429,100,3990,"","","",0,1400.0
1,98000004426,07/22/2013,2105,246430,246430,07/13SHP,07/22/2013,246430,300,1204,"","","",0,569.6
2,98000004426,07/22/2013,2105,246430,246430,07/13SHP,07/22/2013,246430,100,1000,"","","",569.6,0
3,98000004426,07/22/2013,2105,246430,246430,07/13SHP,07/22/2013,246430,300,3990,"","","",569.6,0
4,98000004426,07/22/2013,2105,246430,246430,07/13SHP,07/22/2013,246430,100,3990,"","","",0,569.6
1,98000004426,07/22/2013,1907,246431,246431,07/13SHP,07/22/2013,246431,300,1204,"","","",0,113.92
2,98000004426,07/22/2013,1907,246431,246431,07/13SHP,07/22/2013,246431,100,1000,"","","",113.92,0
3,98000004426,07/22/2013,1907,246431,246431,07/13SHP,07/22/2013,246431,300,3990,"","","",113.92,0
4,98000004426,07/22/2013,1907,246431,246431,07/13SHP,07/22/2013,246431,100,3990,"","","",0,113.92
1,98000004426,07/22/2013,S2003639,246432,246432,07/13SHP,07/22/2013,246432,300,1204,"","","",0,170.88
2,98000004426,07/22/2013,S2003639,246432,246432,07/13SHP,07/22/2013,246432,100,1000,"","","",170.88,0
3,98000004426,07/22/2013,S2003639,246432,246432,07/13SHP,07/22/2013,246432,300,3990,"","","",170.88,0
4,98000004426,07/22/2013,S2003639,246432,246432,07/13SHP,07/22/2013,246432,100,3990,"","","",0,170.88
1,98000004426,07/22/2013,S2003639,246433,246433,07/13SHP,07/22/2013,246433,300,1204,"","","",0,56.96
2,98000004426,07/22/2013,S2003639,246433,246433,07/13SHP,07/22/2013,246433,100,1000,"","","",56.96,0
3,98000004426,07/22/2013,S2003639,246433,246433,07/13SHP,07/22/2013,246433,300,3990,"","","",56.96,0
4,98000004426,07/22/2013,S2003639,246433,246433,07/13SHP,07/22/2013,246433,100,3990,"","","",0,56.96
1,98000004426,07/22/2013,2680,246434,246434,07/13SHP,07/22/2013,246434,300,1204,"","","",0,170.88
2,98000004426,07/22/2013,2680,246434,246434,07/13SHP,07/22/2013,246434,100,1000,"","","",170.88,0
3,98000004426,07/22/2013,2680,246434,246434,07/13SHP,07/22/2013,246434,300,3990,"","","",170.88,0
4,98000004426,07/22/2013,2680,246434,246434,07/13SHP,07/22/2013,246434,100,3990,"","","",0,170.88
1,98000004426,07/22/2013,1735,247267,247267,07/13SHP,07/22/2013,247267,300,1204,"","","",0,56.96
2,98000004426,07/22/2013,1735,247267,247267,07/13SHP,07/22/2013,247267,100,1000,"","","",56.96,0
3,98000004426,07/22/2013,1735,247267,247267,07/13SHP,07/22/2013,247267,300,3990,"","","",56.96,0
4,98000004426,07/22/2013,1735,247267,247267,07/13SHP,07/22/2013,247267,100,3990,"","","",0,56.96
1,98000004426,07/22/2013,1735,247268,247268,07/13SHP,07/22/2013,247268,300,1204,"","","",0,56.96
2,98000004426,07/22/2013,1735,247268,247268,07/13SHP,07/22/2013,247268,100,1000,"","","",56.96,0
3,98000004426,07/22/2013,1735,247268,247268,07/13SHP,07/22/2013,247268,300,3990,"","","",56.96,0
4,98000004426,07/22/2013,1735,247268,247268,07/13SHP,07/22/2013,247268,100,3990,"","","",0,56.96
1,98000004426,07/22/2013,1967,247269,247269,07/13SHP,07/22/2013,247269,300,1204,"","","",0,797.44
2,98000004426,07/22/2013,1967,247269,247269,07/13SHP,07/22/2013,247269,100,1000,"","","",797.44,0
3,98000004426,07/22/2013,1967,247269,247269,07/13SHP,07/22/2013,247269,300,3990,"","","",797.44,0
4,98000004426,07/22/2013,1967,247269,247269,07/13SHP,07/22/2013,247269,100,3990,"","","",0,797.44
1,98000004426,07/22/2013,2096,247270,247270,07/13SHP,07/22/2013,247270,300,1204,"","","",0,854.4
2,98000004426,07/22/2013,2096,247270,247270,07/13SHP,07/22/2013,247270,100,1000,"","","",854.4,0
3,98000004426,07/22/2013,2096,247270,247270,07/13SHP,07/22/2013,247270,300,3990,"","","",854.4,0
4,98000004426,07/22/2013,2096,247270,247270,07/13SHP,07/22/2013,247270,100,3990,"","","",0,854.4
1,98000004426,07/22/2013,1426,247271,247271,07/13SHP,07/22/2013,247271,300,1204,"","","",0,313.28
2,98000004426,07/22/2013,1426,247271,247271,07/13SHP,07/22/2013,247271,100,1000,"","","",313.28,0
3,98000004426,07/22/2013,1426,247271,247271,07/13SHP,07/22/2013,247271,300,3990,"","","",313.28,0
4,98000004426,07/22/2013,1426,247271,247271,07/13SHP,07/22/2013,247271,100,3990,"","","",0,313.28
1,98000004426,07/22/2013,2133,247272,247272,07/13SHP,07/22/2013,247272,300,1204,"","","",0,498.4
2,98000004426,07/22/2013,2133,247272,247272,07/13SHP,07/22/2013,247272,100,1000,"","","",498.4,0
3,98000004426,07/22/2013,2133,247272,247272,07/13SHP,07/22/2013,247272,300,3990,"","","",498.4,0
4,98000004426,07/22/2013,2133,247272,247272,07/13SHP,07/22/2013,247272,100,3990,"","","",0,498.4
1,98000004426,07/22/2013,2658,247280,247280,07/13SHP,07/22/2013,247280,300,1204,"","","",0,284.8
